data,hora_utc,temperatura_c,pressao_mb,radiacao_kj_m2,umidade_relativa_pct,Hora UTC limpa,data_hora_utc
2024/01/01,0900 UTC,24.3,962.3,23.5,100.0,0900,2024-01-01 09:00:00
2024/01/01,1000 UTC,24.4,963.2,129.1,96.0,1000,2024-01-01 10:00:00
2024/01/01,1100 UTC,24.3,963.6,562.7,91.0,1100,2024-01-01 11:00:00
2024/01/01,1200 UTC,23.8,963.9,934.0,92.0,1200,2024-01-01 12:00:00
2024/01/01,1300 UTC,26.0,963.9,1981.7,83.0,1300,2024-01-01 13:00:00
2024/01/01,1400 UTC,27.3,963.3,1970.1,73.0,1400,2024-01-01 14:00:00
2024/01/01,1500 UTC,29.5,962.7,3103.3,64.0,1500,2024-01-01 15:00:00
2024/01/01,1600 UTC,30.1,961.4,3448.7,55.0,1600,2024-01-01 16:00:00
2024/01/01,1700 UTC,31.5,960.0,2321.2,53.0,1700,2024-01-01 17:00:00
2024/01/01,1800 UTC,31.5,959.0,2643.1,52.0,1800,2024-01-01 18:00:00
2024/01/01,1900 UTC,30.8,958.8,900.5,52.0,1900,2024-01-01 19:00:00
2024/01/01,2000 UTC,30.1,959.3,308.5,53.0,2000,2024-01-01 20:00:00
2024/01/01,2100 UTC,28.1,959.7,111.9,63.0,2100,2024-01-01 21:00:00
2024/01/02,0900 UTC,23.7,962.1,33.2,88.0,0900,2024-01-02 09:00:00
2024/01/02,1000 UTC,24.7,962.5,575.6,81.0,1000,2024-01-02 10:00:00
2024/01/02,1100 UTC,26.0,962.7,932.6,76.0,1100,2024-01-02 11:00:00
2024/01/02,1200 UTC,26.8,962.8,729.4,70.0,1200,2024-01-02 12:00:00
2024/01/02,1300 UTC,28.3,962.6,986.4,61.0,1300,2024-01-02 13:00:00
2024/01/02,1400 UTC,29.4,962.2,1025.0,57.0,1400,2024-01-02 14:00:00
2024/01/02,1500 UTC,30.0,961.7,824.2,56.0,1500,2024-01-02 15:00:00
2024/01/02,1600 UTC,32.2,960.6,2193.5,47.0,1600,2024-01-02 16:00:00
2024/01/02,1700 UTC,32.5,959.4,3335.5,45.0,1700,2024-01-02 17:00:00
2024/01/02,1800 UTC,32.1,958.3,1695.5,45.0,1800,2024-01-02 18:00:00
2024/01/02,1900 UTC,32.4,958.1,722.4,44.0,1900,2024-01-02 19:00:00
2024/01/02,2000 UTC,32.2,958.1,870.4,43.0,2000,2024-01-02 20:00:00
2024/01/02,2100 UTC,29.2,958.9,65.6,62.0,2100,2024-01-02 21:00:00
2024/01/03,0900 UTC,24.2,962.9,39.1,87.0,0900,2024-01-03 09:00:00
2024/01/03,1000 UTC,25.4,963.6,390.1,80.0,1000,2024-01-03 10:00:00
2024/01/03,1100 UTC,26.5,963.8,1313.0,71.0,1100,2024-01-03 11:00:00
2024/01/03,1200 UTC,28.5,964.0,1167.9,61.0,1200,2024-01-03 12:00:00
2024/01/03,1300 UTC,29.6,963.8,1505.3,57.0,1300,2024-01-03 13:00:00
2024/01/03,1400 UTC,30.2,963.4,2571.7,54.0,1400,2024-01-03 14:00:00
2024/01/03,1500 UTC,32.3,962.4,2601.9,45.0,1500,2024-01-03 15:00:00
2024/01/03,1600 UTC,33.1,961.4,2570.8,47.0,1600,2024-01-03 16:00:00
2024/01/03,1700 UTC,32.7,960.3,2489.5,45.0,1700,2024-01-03 17:00:00
2024/01/03,1800 UTC,33.5,959.4,1693.7,44.0,1800,2024-01-03 18:00:00
2024/01/03,1900 UTC,33.3,959.2,1901.6,43.0,1900,2024-01-03 19:00:00
2024/01/03,2000 UTC,32.5,959.1,941.7,44.0,2000,2024-01-03 20:00:00
2024/01/03,2100 UTC,31.0,959.7,141.2,51.0,2100,2024-01-03 21:00:00
2024/01/04,0900 UTC,25.4,962.6,65.0,80.0,0900,2024-01-04 09:00:00
2024/01/04,1000 UTC,26.9,962.9,561.9,74.0,1000,2024-01-04 10:00:00
2024/01/04,1100 UTC,28.8,963.2,1785.6,66.0,1100,2024-01-04 11:00:00
2024/01/04,1200 UTC,29.5,963.1,1831.4,62.0,1200,2024-01-04 12:00:00
2024/01/04,1300 UTC,31.1,962.6,2876.2,53.0,1300,2024-01-04 13:00:00
2024/01/04,1400 UTC,32.6,962.0,2486.5,47.0,1400,2024-01-04 14:00:00
2024/01/04,1500 UTC,32.6,961.3,2985.4,51.0,1500,2024-01-04 15:00:00
2024/01/04,1600 UTC,34.2,960.5,3758.6,42.0,1600,2024-01-04 16:00:00
2024/01/04,1700 UTC,34.3,959.3,3097.2,39.0,1700,2024-01-04 17:00:00
2024/01/04,1800 UTC,33.9,958.5,2666.4,39.0,1800,2024-01-04 18:00:00
2024/01/04,1900 UTC,35.2,958.2,2051.8,37.0,1900,2024-01-04 19:00:00
2024/01/04,2000 UTC,33.8,958.2,999.5,39.0,2000,2024-01-04 20:00:00
2024/01/04,2100 UTC,32.0,958.6,82.0,43.0,2100,2024-01-04 21:00:00
2024/01/05,0900 UTC,23.6,962.3,35.3,81.0,0900,2024-01-05 09:00:00
2024/01/05,1000 UTC,25.7,962.3,598.3,76.0,1000,2024-01-05 10:00:00
2024/01/05,1100 UTC,27.5,962.8,1366.0,69.0,1100,2024-01-05 11:00:00
2024/01/05,1200 UTC,29.0,962.4,1848.8,61.0,1200,2024-01-05 12:00:00
2024/01/05,1300 UTC,31.0,961.8,2887.1,53.0,1300,2024-01-05 13:00:00
2024/01/05,1400 UTC,32.6,961.0,3301.6,46.0,1400,2024-01-05 14:00:00
2024/01/05,1500 UTC,33.4,960.3,3149.1,42.0,1500,2024-01-05 15:00:00
2024/01/05,1600 UTC,34.3,959.3,3306.4,40.0,1600,2024-01-05 16:00:00
2024/01/05,1700 UTC,34.9,958.1,2393.5,39.0,1700,2024-01-05 17:00:00
2024/01/05,1800 UTC,35.5,957.5,2097.8,34.0,1800,2024-01-05 18:00:00
2024/01/05,1900 UTC,35.9,957.0,1877.6,33.0,1900,2024-01-05 19:00:00
2024/01/05,2000 UTC,34.5,957.2,766.1,35.0,2000,2024-01-05 20:00:00
2024/01/05,2100 UTC,32.5,957.4,112.1,41.0,2100,2024-01-05 21:00:00
2024/01/06,0900 UTC,25.7,961.9,74.4,76.0,0900,2024-01-06 09:00:00
2024/01/06,1000 UTC,27.1,962.5,502.1,75.0,1000,2024-01-06 10:00:00
2024/01/06,1100 UTC,28.1,962.9,1287.1,69.0,1100,2024-01-06 11:00:00
2024/01/06,1200 UTC,29.9,962.4,1622.3,62.0,1200,2024-01-06 12:00:00
2024/01/06,1300 UTC,31.7,961.9,2905.7,53.0,1300,2024-01-06 13:00:00
2024/01/06,1400 UTC,32.2,961.2,3580.2,48.0,1400,2024-01-06 14:00:00
2024/01/06,1500 UTC,34.0,960.2,2949.1,43.0,1500,2024-01-06 15:00:00
2024/01/06,1600 UTC,34.5,959.3,3248.3,40.0,1600,2024-01-06 16:00:00
2024/01/06,1700 UTC,35.4,958.1,3005.3,37.0,1700,2024-01-06 17:00:00
2024/01/06,1800 UTC,36.8,957.2,2876.1,34.0,1800,2024-01-06 18:00:00
2024/01/06,1900 UTC,35.7,957.0,1976.5,35.0,1900,2024-01-06 19:00:00
2024/01/06,2000 UTC,34.8,957.3,953.9,36.0,2000,2024-01-06 20:00:00
2024/01/06,2100 UTC,33.0,957.6,75.0,40.0,2100,2024-01-06 21:00:00
2024/01/07,0900 UTC,25.2,961.7,67.2,80.0,0900,2024-01-07 09:00:00
2024/01/07,1000 UTC,27.2,962.0,698.2,75.0,1000,2024-01-07 10:00:00
2024/01/07,1100 UTC,27.8,962.3,949.2,71.0,1100,2024-01-07 11:00:00
2024/01/07,1200 UTC,29.5,962.6,1817.6,62.0,1200,2024-01-07 12:00:00
2024/01/07,1300 UTC,31.6,962.5,3178.0,49.0,1300,2024-01-07 13:00:00
2024/01/07,1400 UTC,32.9,961.9,3277.9,41.0,1400,2024-01-07 14:00:00
2024/01/07,1500 UTC,35.0,960.8,3583.2,37.0,1500,2024-01-07 15:00:00
2024/01/07,1600 UTC,35.2,959.8,3772.0,37.0,1600,2024-01-07 16:00:00
2024/01/07,1700 UTC,36.1,958.8,2497.8,32.0,1700,2024-01-07 17:00:00
2024/01/07,1800 UTC,36.6,958.1,2494.2,31.0,1800,2024-01-07 18:00:00
2024/01/07,1900 UTC,36.3,957.9,1763.9,30.0,1900,2024-01-07 19:00:00
2024/01/07,2000 UTC,34.8,958.4,799.8,32.0,2000,2024-01-07 20:00:00
